evento; veces que se juega;jerarquia;deporte atractivo;deporte;duracion
BSK-V grupo2;1;3;0;basquetball varones;12
BSK-V grupo3;1;3;0;basquetball varones;12
BSK-V grupo4;1;3;0;basquetball varones;12
BSK-V grupo5;1;3;0;basquetball varones;12
BSK-V grupo6;1;3;0;basquetball varones;12
BSK-V grupo7;1;3;0;basquetball varones;12
BSK-V grupo8;1;3;0;basquetball varones;12
BSK-V grupo9;1;3;0;basquetball varones;12
BSK-V grupo10;1;3;0;basquetball varones;12
BSK-V grupo11;1;3;0;basquetball varones;12
BSK-V grupo12;1;3;0;basquetball varones;12
BSK-V 3-4;1;2;0;basquetball varones;12
BSK-V F;1;1;0;basquetball varones;12
VOL-V grupo1;1;3;0;voleyball varones;9
VOL-V grupo2;1;3;0;voleyball varones;9
VOL-V grupo3;1;3;0;voleyball varones;9
VOL-V grupo4;1;3;0;voleyball varones;9
VOL-V grupo5;1;3;0;voleyball varones;9
VOL-V grupo6;1;3;0;voleyball varones;9
VOL-V grupo7;1;3;0;voleyball varones;9
VOL-V grupo8;1;3;0;voleyball varones;9
VOL-V grupo9;1;3;0;voleyball varones;9
VOL-V grupo10;1;3;0;voleyball varones;9
VOL-V grupo11;1;3;0;voleyball varones;9
VOL-V grupo12;1;3;0;voleyball varones;9
VOL-V 3-4;1;2;0;voleyball varones;9
VOL-V F;1;1;0;voleyball varones;9
VOL-D grupo1;1;3;1;voleyball damas;9
VOL-D grupo2;1;3;1;voleyball damas;9
VOL-D grupo3;1;3;1;voleyball damas;9
VOL-D grupo4;1;3;1;voleyball damas;9
VOL-D grupo5;1;3;1;voleyball damas;9
VOL-D grupo6;1;3;1;voleyball damas;9
VOL-D grupo7;1;3;1;voleyball damas;9
VOL-D grupo8;1;3;1;voleyball damas;9
VOL-D grupo9;1;3;1;voleyball damas;9
VOL-D grupo10;1;3;1;voleyball damas;9
VOL-D grupo11;1;3;1;voleyball damas;9
VOL-D grupo12;1;3;1;voleyball damas;9
VOL-D 3-4;1;2;1;voleyball damas;9
VOL-D F;1;1;1;voleyball damas;9
TEN 4tos1;1;4;1;tenis;24
TEN 4tos2;1;4;1;tenis;24
TEN 4tos3;1;4;1;tenis;24
TEN 4tos4;1;4;1;tenis;24
TEN semi1;1;3;1;tenis;24
TEN semi2;1;3;1;tenis;24
TEN 3-4;1;2;1;tenis;24
TEN F;1;1;1;tenis;24
C5K;1;1;0;corrida;24
TMESA-V grupo1;1;3;0;tenis de mesa;6
TMESA-V grupo2;1;3;0;tenis de mesa;6
TMESA-V grupo3;1;3;0;tenis de mesa;6
TMESA-V grupo4;1;3;0;tenis de mesa;6
TMESA-V grupo5;1;3;0;tenis de mesa;6
TMESA-V grupo6;1;3;0;tenis de mesa;6
TMESA-V 3-4;1;2;0;tenis de mesa;6
TMESA-V F;1;1;0;tenis de mesa;6
TMESA-D grupo1;1;3;0;tenis de mesa;6
TMESA-D grupo2;1;3;0;tenis de mesa;6
TMESA-D grupo3;1;3;0;tenis de mesa;6
TMESA-D grupo4;1;3;0;tenis de mesa;6
TMESA-D grupo5;1;3;0;tenis de mesa;6
TMESA-D grupo6;1;3;0;tenis de mesa;6
TMESA-D 3-4;1;2;0;tenis de mesa;6
TMESA-D F;1;1;0;tenis de mesa;6
TMESA-MIX grupo1;1;3;0;tenis de mesa;6
TMESA-MIX grupo2;1;3;0;tenis de mesa;6
TMESA-MIX grupo3;1;3;0;tenis de mesa;6
TMESA-MIX 3-4;1;2;0;tenis de mesa;6
TMESA-MIX F;1;1;0;tenis de mesa;6
NAT1;1;1;0;natacion;24
NAT2;1;1;0;natacion;24
RGB7 grupo1;1;3;0;rugby;6
RGB7 grupo2;1;3;0;rugby;6
RGB7 grupo3;1;3;0;rugby;6
RGB7 grupo4;1;3;0;rugby;6
RGB7 grupo5;1;3;0;rugby;6
RGB7 grupo6;1;3;0;rugby;6
RGB7 grupo7;1;3;0;rugby;6
RGB7 grupo8;1;3;0;rugby;6
RGB7 grupo9;1;3;0;rugby;6
RGB7 grupo10;1;3;0;rugby;6
RGB7 grupo11;1;3;0;rugby;6
RGB7 grupo12;1;3;0;rugby;6
RGB7 3-4;1;2;0;rugby;6
RGB7 final;1;1;0;rugby;6
QMS grupo1;1;4;0;quemadas;6
QMS grupo2;1;4;0;quemadas;6
QMS grupo3;1;4;0;quemadas;6
QMS grupo4;1;4;0;quemadas;6
QMS grupo5;1;4;0;quemadas;6
QMS grupo6;1;4;0;quemadas;6
QMS grupo7;1;4;0;quemadas;6
QMS grupo8;1;4;0;quemadas;6
QMS grupo9;1;4;0;quemadas;6
QMS grupo10;1;4;0;quemadas;6
QMS grupo11;1;4;0;quemadas;6
QMS grupo12;1;4;0;quemadas;6
QMS semi1;1;3;0;quemadas;6
QMS semi1;1;3;0;quemadas;6
QMS semi2;1;2;0;quemadas;6
QMS F;1;1;0;quemadas;6
AJDZ grupo1;1;4;0;ajedrez;6
AJDZ grupo2;1;4;0;ajedrez;6
AJDZ grupo3;1;4;0;ajedrez;6
AJDZ grupo4;1;4;0;ajedrez;6
AJDZ grupo5;1;4;0;ajedrez;6
AJDZ grupo6;1;4;0;ajedrez;6
AJDZ semi1;1;3;0;ajedrez;6
AJDZ semi2;1;3;0;ajedrez;6
AJDZ 3-4;1;2;0;ajedrez;6
AJDZ F;1;1;0;ajedrez;6
COREO1;1;1;0;coreografia;3
COREO2;1;1;0;coreografia;3
COREO3;1;1;0;coreografia;3
COREO4;1;1;0;coreografia;3
COREO5;1;1;0;coreografia;3
COREO6;1;1;0;coreografia;3
COREO7;1;1;0;coreografia;3
COREO8;1;1;0;coreografia;3
FUTEN 4tos1;1;4;0;futbol tenis;3
FUTEN 4tos2;1;4;0;futbol tenis;3
FUTEN 4tos3;1;4;0;futbol tenis;3
FUTEN 4tos4;1;4;0;futbol tenis;3
FUTEN semi1;1;3;0;futbol tenis;3
FUTEN semi2;1;3;0;futbol tenis;3
FUTEN 3-4;1;2;0;futbol tenis;3
FUTEN F;1;1;0;futbol tenis;3
LOL Fase 1 1 (1);1;11;0;lol;12
LOL Fase 1 1 (2);1;11;0;lol;12
LOL Fase 2 1;1;9;0;lol;12
LOL 4tos 1;1;7;0;lol;12
LOL Semi 1;1;5;0;lol;12
LOL  Fase 1 2;1;10;0;lol;12
LOL Fase 2 2;1;8;0;lol;12
LOL Fase 3 2;1;6;0;lol;12
LOL 4tos 2;1;4;0;lol;12
LOL semi 2 ;1;3;0;lol;12
LOL FG;1;1;0;lol;12
LOL 3-4 ;1;2;0;lol;12
FIFA Fase 1 1 (1);1;11;0;fifa;6
FIFA Fase 1 1 (2);1;11;0;fifa;6
FIFA Fase 1 1 (3);1;11;0;fifa;6
FIFA Fase 1 1 (4);1;11;0;fifa;6
FIFA Fase 2 1 (1);1;9;0;fifa;6
FIFA Fase 2 1 (2);1;9;0;fifa;6
FIFA 4tos 1;1;7;0;fifa;6
FIFA Semi 1;1;5;0;fifa;6
FIFA  Fase 1 2 (1);1;10;0;fifa;6
FIFA  Fase 1 2 (2);1;10;0;fifa;6
FIFA Fase 2 2 (1);1;8;0;fifa;6
FIFA Fase 2 2 (2);1;8;0;fifa;6
FIFA Fase 3 2 (1);1;6;0;fifa;6
FIFA Fase 3 2 (2);1;6;0;fifa;6
FIFA 4tos 2;1;4;0;fifa;6
FIFA semi 2 ;1;3;0;fifa;6
FIFA FG;1;1;0;fifa;6
FIFA 3-4 ;1;2;0;fifa;6
PKR grupo;1;2;0;poker;36
PKR F;1;1;0;poker;36
SSB Fase 1 1 (1);1;11;0;ssb;6
SSB Fase 1 1 (2);1;11;0;ssb;6
SSB Fase 1 1 (3);1;11;0;ssb;6
SSB Fase 1 1 (4);1;11;0;ssb;6
SSB Fase 2 1 (1);1;9;0;ssb;6
SSB Fase 2 1 (2);1;9;0;ssb;6
SSB 4tos 1;1;7;0;ssb;6
SSB Semi 1;1;5;0;ssb;6
SSB  Fase 1 2 (1);1;10;0;ssb;6
SSB  Fase 1 2 (2);1;10;0;ssb;6
SSB Fase 2 2 (1);1;8;0;ssb;6
SSB Fase 2 2 (2);1;8;0;ssb;6
SSB Fase 3 2 (3);1;6;0;ssb;6
SSB Fase 3 2 (4);1;6;0;ssb;6
SSB 4tos 2;1;4;0;ssb;6
SSB semi 2 ;1;3;0;ssb;6
SSB FG;1;1;0;ssb;6
SSB 3-4 ;1;2;0;ssb;6
DUD grupo;1;2;0;dudo;24
DUD F;1;1;0;dudo;24
TCA-V 4tos1;1;4;0;taca taca varones;1
TCA-V 4tos2;1;4;0;taca taca varones;1
TCA-V semi;1;3;0;taca taca varones;1
TCA-V 7-8 y 5-6;1;2;0;taca taca varones;1
TCA-V F y 3-4;1;1;0;taca taca varones;1
TCA-D 4tos1;1;4;0;taca taca damas;1
TCA-D 4tos2;1;4;0;taca taca damas;1
TCA-D semi;1;3;0;taca taca damas;1
TCA-D 7-8 y 5-6;1;2;0;taca taca damas;1
TCA-D F y 3-4;1;1;0;taca taca damas;1
TCA-MIX 4tos1;1;4;0;taca taca mixto;1
TCA-MIX 4tos2;1;4;0;taca taca mixto;1
TCA-MIX semi;1;3;0;taca taca mixto;1
TCA-MIX 7-8 y 5-6;1;2;0;taca taca mixto;1
TCA-MIX F y 3-4;1;1;0;taca taca mixto;1
CACH Fase 1 1 (1);1;11;0;cachipun;1
CACH Fase 1 1 (2);1;11;0;cachipun;1
CACH Fase 2 1;1;9;0;cachipun;1
CACH 4tos 1;1;7;0;cachipun;1
CACH Semi 1;1;5;0;cachipun;1
CACH  Fase 1 2;1;10;0;cachipun;1
CACH Fase 2 2;1;8;0;cachipun;1
CACH Fase 3 2;1;6;0;cachipun;1
CACH 4tos 2;1;4;0;cachipun;1
CACH semi 2 ;1;3;0;cachipun;1
CACH FG;1;1;0;cachipun;1
CACH 3-4 ;1;2;0;cachipun;1
RAY grupo1;1;4;0;rayuela;1
RAY grupo2;1;4;0;rayuela;1
RAY grupo3;1;4;0;rayuela;1
RAY grupo4;1;4;0;rayuela;1
RAY grupo5;1;4;0;rayuela;1
RAY grupo6;1;4;0;rayuela;1
RAY semi1;1;3;0;rayuela;1
RAY semi2;1;3;0;rayuela;1
RAY 3-4;1;2;0;rayuela;1
RAY F;1;1;0;rayuela;1
